x(mm)	height(mm)
-15.375	-4.286712203323161e-06
-15.3	-3.7143547907343162e-06
-15.225000000000001	-3.204293877501626e-06
-15.15	-2.800291225555914e-06
-15.075000000000001	-2.5143315121544575e-06
-15.0	-2.3438510742461222e-06
-14.925	-2.292024152852414e-06
-14.850000000000001	-2.3572103874575373e-06
-14.775	-2.5212885604183795e-06
-14.700000000000001	-2.764351591384735e-06
-14.625	-3.0779827817316816e-06
-14.55	-3.4464895590113484e-06
-14.475000000000001	-3.830489721414725e-06
-14.4	-4.1919476822476026e-06
-14.325000000000001	-4.517594464419768e-06
-14.25	-4.794422694948561e-06
-14.175	-4.986034099477616e-06
-14.100000000000001	-5.060323246805929e-06
-14.025	-5.019201293433782e-06
-13.95	-4.8851397281196325e-06
-13.875	-4.682964116450645e-06
-13.8	-4.445829095429626e-06
-13.725000000000001	-4.22131461807077e-06
-13.650000000000002	-4.05382219801126e-06
-13.575	-3.965263654138022e-06
-13.5	-3.952639855225081e-06
-13.425	-3.994125714581973e-06
-13.350000000000001	-4.072265184720409e-06
-13.275000000000002	-4.190690002033913e-06
-13.2	-4.347803431484321e-06
-13.125	-4.5106165113063506e-06
-13.05	-4.632251797727158e-06
-12.975000000000001	-4.6776083596932315e-06
-12.900000000000002	-4.6380142736124284e-06
-12.825	-4.53518286811158e-06
-12.75	-4.393423968806259e-06
-12.675	-4.2141013930778155e-06
-12.600000000000001	-3.990802944867673e-06
-12.525000000000002	-3.7289079094875896e-06
-12.45	-3.4420320484372054e-06
-12.375	-3.143382594235169e-06
-12.3	-2.8398694952642507e-06
-12.225000000000001	-2.531324160630628e-06
-12.150000000000002	-2.2273844550318113e-06
-12.075	-1.95973344363855e-06
-12.0	-1.7580956369927607e-06
-11.925	-1.6258707359115584e-06
-11.850000000000001	-1.5505798764078517e-06
-11.775000000000002	-1.518681874623807e-06
-11.7	-1.5130694717735364e-06
-11.625	-1.5088380791010623e-06
-11.55	-1.4794432728493833e-06
-11.475000000000001	-1.4069807892405511e-06
-11.400000000000002	-1.298596519469119e-06
-11.325	-1.1941127547099538e-06
-11.25	-1.132386931133841e-06
-11.175	-1.118659124936545e-06
-11.100000000000001	-1.1370795473833323e-06
-11.025000000000002	-1.1721097898612964e-06
-10.95	-1.2202478189447359e-06
-10.875	-1.2951917214726794e-06
-10.8	-1.4164521996399311e-06
-10.725000000000001	-1.5968800660986808e-06
-10.650000000000002	-1.8423937390690056e-06
-10.575	-2.1532617374673447e-06
-10.5	-2.519391426042399e-06
-10.425	-2.9161677605219037e-06
-10.350000000000001	-3.308472032774879e-06
-10.275000000000002	-3.656889365983564e-06
-10.2	-3.924489959827024e-06
-10.125	-4.080056585675291e-06
-10.05	-4.086544581796274e-06
-9.975000000000001	-3.896195598575579e-06
-9.900000000000002	-3.4870388437454993e-06
-9.825	-2.894151077624469e-06
-9.75	-2.17855910837244e-06
-9.675	-1.3908447872542014e-06
-9.600000000000001	-5.759125039119631e-07
-9.525000000000002	2.1723581834552594e-07
-9.45	9.46860727243497e-07
-9.375	1.5883802462336448e-06
-9.3	2.117261129174365e-06
-9.225000000000001	2.494777614998716e-06
-9.150000000000002	2.6922426823725813e-06
-9.075	2.7152443043363573e-06
-9.0	2.589442952944061e-06
-8.925	2.3397678538876907e-06
-8.850000000000001	1.9816269911071043e-06
-8.775000000000002	1.5232458613947588e-06
-8.7	1.0005062289851253e-06
-8.625	5.007023801339306e-07
-8.55	1.0948862768854945e-07
-8.475000000000001	-1.4370568435319407e-07
-8.400000000000002	-2.695724262964151e-07
-8.325	-2.885084282136365e-07
-8.25	-2.1367422541722424e-07
-8.175	-4.4241553944717035e-08
-8.100000000000001	2.1406165394549871e-07
-8.025000000000002	5.312512742679438e-07
-7.949999999999999	8.740882457916254e-07
-7.875	1.2297060745156034e-06
-7.800000000000001	1.6010483381289792e-06
-7.725000000000001	1.9951024404599763e-06
-7.650000000000002	2.4105221159201754e-06
-7.574999999999999	2.829428683935191e-06
-7.5	3.2265448033612404e-06
-7.425000000000001	3.5778407268968046e-06
-7.350000000000001	3.849895555481456e-06
-7.275000000000002	3.994847242684205e-06
-7.199999999999999	3.986988849080812e-06
-7.125	3.8536822966220265e-06
-7.050000000000001	3.641880872993745e-06
-6.975000000000001	3.3791404859611187e-06
-6.900000000000002	3.0769834177079677e-06
-6.824999999999999	2.7447020791638778e-06
-6.75	2.4025540143176678e-06
-6.675000000000001	2.0877956545273947e-06
-6.600000000000001	1.832692322817286e-06
-6.525000000000002	1.6439682381624849e-06
-6.449999999999999	1.5160290197659135e-06
-6.375	1.4476479413251786e-06
-6.300000000000001	1.4387134352885193e-06
-6.225000000000001	1.48516534710216e-06
-6.150000000000002	1.5866074394447975e-06
-6.074999999999999	1.752541146455944e-06
-6.0	1.9904243279544095e-06
-5.925000000000001	2.293437523642171e-06
-5.850000000000001	2.6452614573026438e-06
-5.775000000000002	3.0279395409873432e-06
-5.699999999999999	3.425099129193942e-06
-5.625	3.822631523035115e-06
-5.550000000000001	4.203836974394582e-06
-5.475000000000001	4.547034690076292e-06
-5.400000000000002	4.8385790859451016e-06
-5.324999999999999	5.083617291053987e-06
-5.25	5.292380401761963e-06
-5.175000000000001	5.464999735846547e-06
-5.100000000000001	5.594905586605844e-06
-5.025000000000002	5.675278476945786e-06
-4.949999999999999	5.69913166346132e-06
-4.875	5.657897390510926e-06
-4.800000000000001	5.540396894278145e-06
-4.725000000000001	5.335051656824507e-06
-4.650000000000002	5.044684660133968e-06
-4.574999999999999	4.697805390146887e-06
-4.5	4.333252340782928e-06
-4.425000000000001	3.982423017959107e-06
-4.350000000000001	3.668490193596809e-06
-4.275000000000002	3.4060044096183238e-06
-4.199999999999999	3.185032731932982e-06
-4.125	2.9649850044165833e-06
-4.050000000000001	2.722646352883428e-06
-3.9750000000000014	2.4939146890448637e-06
-3.900000000000002	2.3361532144598733e-06
-3.8249999999999993	2.2814166744776677e-06
-3.75	2.3325563621723367e-06
-3.6750000000000007	2.4723901222670744e-06
-3.6000000000000014	2.682264855046134e-06
-3.525000000000002	2.9566052702624587e-06
-3.4499999999999993	3.2920088910373933e-06
-3.375	3.67440730774566e-06
-3.3000000000000007	4.083969931894789e-06
-3.2250000000000014	4.502463999996011e-06
-3.150000000000002	4.912663327427164e-06
-3.0749999999999993	5.295913312284522e-06
-3.0	5.63027718922549e-06
-2.9250000000000007	5.89075603330452e-06
-2.8500000000000014	6.0572462637998236e-06
-2.775000000000002	6.121707148030287e-06
-2.6999999999999993	6.084435805163804e-06
-2.625	5.949680960017641e-06
-2.5500000000000007	5.729520446850807e-06
-2.4750000000000014	5.446616213145404e-06
-2.400000000000002	5.12420182338186e-06
-2.3249999999999993	4.777527462805544e-06
-2.25	4.423881191180532e-06
-2.1750000000000007	4.094008946540305e-06
-2.1000000000000014	3.830550798927398e-06
-2.025000000000002	3.679939704124466e-06
-1.9499999999999993	3.6711090073773795e-06
-1.875	3.797539947108529e-06
-1.8000000000000007	4.0258604086251936e-06
-1.7250000000000014	4.312461177815666e-06
-1.6500000000000021	4.6256559448380255e-06
-1.5749999999999993	4.960325057802751e-06
-1.5	5.316960526443715e-06
-1.4250000000000007	5.678778525782407e-06
-1.3500000000000014	6.0166818997835944e-06
-1.2750000000000021	6.300855165004234e-06
-1.2000000000000028	6.5110407642331704e-06
-1.125	6.640595320119816e-06
-1.0500000000000007	6.676988388798526e-06
-0.9750000000000014	6.588732463504408e-06
-0.9000000000000021	6.361625478179288e-06
-0.8250000000000028	6.030750811069738e-06
-0.75	5.64618728831773e-06
-0.6750000000000007	5.2347216875414875e-06
-0.6000000000000014	4.811843741412034e-06
-0.5250000000000021	4.401721141218709e-06
-0.45000000000000284	4.038814540424879e-06
-0.375	3.7623300582230292e-06
-0.3000000000000007	3.600393033073918e-06
-0.22500000000000142	3.5547167762383677e-06
-0.15000000000000213	3.5975438253066025e-06
-0.07500000000000284	3.6783521977184033e-06
0.0	3.7573416442697502e-06
0.07499999999999929	3.8317786526151885e-06
0.14999999999999858	3.906986450767745e-06
0.22499999999999787	3.967717510581051e-06
0.29999999999999716	4.006414801228391e-06
0.375	4.050585542676263e-06
0.4499999999999993	4.129762459147495e-06
0.5249999999999986	4.2399475325764024e-06
0.5999999999999979	4.3583870060571715e-06
0.6749999999999972	4.46580888728431e-06
0.75	4.54815670198571e-06
0.8249999999999993	4.595038247347755e-06
0.8999999999999986	4.60552184543062e-06
0.9749999999999979	4.59237759658051e-06
1.0499999999999972	4.572762382831437e-06
1.125	4.556161121299073e-06
1.1999999999999993	4.534920517568431e-06
1.2749999999999986	4.480865319073611e-06
1.3499999999999979	4.363625818469572e-06
1.4249999999999972	4.169664106997121e-06
1.5	3.9023678278381285e-06
1.5749999999999993	3.5772264294670543e-06
1.6499999999999986	3.2162599189938954e-06
1.7249999999999979	2.8439638654960673e-06
1.7999999999999972	2.490096903347869e-06
1.875	2.1908882355407567e-06
1.9499999999999993	1.977085136994359e-06
2.0249999999999986	1.8614017078620407e-06
2.1000000000000014	1.8367438768321729e-06
2.174999999999997	1.8790356544158314e-06
2.25	1.9576778862278416e-06
2.3249999999999957	2.046142006267805e-06
2.3999999999999986	2.1254437901888158e-06
2.4750000000000014	2.184765858555808e-06
2.549999999999997	2.217793930101436e-06
2.625	2.219748074975158e-06
2.6999999999999957	2.191482717982587e-06
2.7749999999999986	2.1423578918174773e-06
2.8500000000000014	2.081146740288099e-06
2.924999999999997	2.006983021536991e-06
3.0	1.9124261112526615e-06
3.0749999999999957	1.7913135058739236e-06
3.1499999999999986	1.653642075786964e-06
3.2250000000000014	1.5335068185174213e-06
3.299999999999997	1.4622733619138926e-06
3.375	1.4444392173235003e-06
3.4499999999999957	1.47899753276254e-06
3.5249999999999986	1.5809983460785144e-06
3.6000000000000014	1.7583785881066804e-06
3.674999999999997	1.987605835819868e-06
3.75	2.229315815469091e-06
3.8249999999999957	2.4494324057185443e-06
3.8999999999999986	2.622200140774003e-06
3.9750000000000014	2.7292242135062717e-06
4.049999999999997	2.760630478564759e-06
4.125	2.7160617054843928e-06
4.199999999999996	2.602905081787562e-06
4.274999999999999	2.433924716078102e-06
4.350000000000001	2.225292891130413e-06
4.424999999999997	1.9930325669680862e-06
4.5	1.7427286339395968e-06
4.574999999999996	1.4639854157852864e-06
4.649999999999999	1.1505854226957235e-06
4.725000000000001	8.18768104371449e-07
4.799999999999997	4.922573530666627e-07
4.875	1.853890066305182e-07
4.949999999999996	-8.808289845780071e-08
5.024999999999999	-3.0551737406310284e-07
5.100000000000001	-4.4891522737062744e-07
5.174999999999997	-5.179040578731058e-07
5.25	-5.175657543619787e-07
5.324999999999996	-4.467327419265494e-07
5.399999999999999	-3.133267289587068e-07
5.475000000000001	-1.4799245416383017e-07
5.549999999999997	1.6114816422295707e-08
5.625	1.647392924067135e-07
5.699999999999996	2.948821620086997e-07
5.774999999999999	4.034415950244199e-07
5.850000000000001	4.900289957830812e-07
5.924999999999997	5.61526506095508e-07
6.0	6.294295081979059e-07
6.074999999999996	7.032053776920161e-07
6.149999999999999	7.749572364729047e-07
6.225000000000001	8.114314556537533e-07
6.299999999999997	7.840926584875636e-07
6.375	6.984512232759402e-07
6.449999999999996	5.823195362755138e-07
6.524999999999999	4.6646574459939375e-07
6.600000000000001	3.759187591088488e-07
6.674999999999997	3.2517575729997944e-07
6.75	3.183659361855836e-07
6.824999999999996	3.506255151709947e-07
6.899999999999999	4.0938148892102993e-07
6.975000000000001	4.735153802229167e-07
7.049999999999997	5.041569928442779e-07
7.125	4.4535691438114284e-07
7.199999999999996	2.726365191024748e-07
7.274999999999999	3.141172078904811e-08
7.350000000000001	-2.129745244355516e-07
7.424999999999997	-4.3168471527706126e-07
7.5	-6.263005524519553e-07
7.574999999999996	-8.083329358753104e-07
7.649999999999999	-9.83640711849577e-07
7.725000000000001	-1.1458394202642924e-06
7.799999999999997	-1.3007537918019103e-06
7.875	-1.4847127451435906e-06
7.949999999999996	-1.7271718841885873e-06
8.024999999999999	-2.014778495275977e-06
8.100000000000001	-2.316879044410735e-06
8.174999999999997	-2.6156441744984708e-06
8.25	-2.8932174525854983e-06
8.324999999999996	-3.1169203671045303e-06
8.399999999999999	-3.259622325123437e-06
8.475000000000001	-3.3227856496045644e-06
8.549999999999997	-3.3350443266680836e-06
8.625	-3.3391827528591204e-06
8.699999999999996	-3.3571944824235558e-06
8.774999999999999	-3.365679724588626e-06
8.850000000000001	-3.3345178408472688e-06
8.924999999999997	-3.264708592251615e-06
9.0	-3.159630886710233e-06
9.074999999999996	-2.9955415262896315e-06
9.149999999999999	-2.7556327045260498e-06
9.225000000000001	-2.465220753738644e-06
9.299999999999997	-2.1678998923488718e-06
9.375	-1.8947972222088876e-06
9.449999999999996	-1.6652714759311841e-06
9.524999999999999	-1.4945267642263155e-06
9.600000000000001	-1.3974425732467048e-06
9.674999999999997	-1.388253761934004e-06
9.75	-1.4674080593734636e-06
9.824999999999996	-1.6117298121524425e-06
9.899999999999999	-1.7906287317273794e-06
9.975000000000001	-1.9845198917939672e-06
10.049999999999997	-2.1860324756636246e-06
10.125	-2.3970272736445677e-06
10.199999999999996	-2.6260666804284496e-06
10.274999999999999	-2.8833584424851644e-06
10.350000000000001	-3.165148155459358e-06
10.424999999999997	-3.4419755115737035e-06
10.5	-3.6729280470394796e-06
10.574999999999996	-3.823676139470964e-06
10.649999999999999	-3.8736392553040216e-06
10.725000000000001	-3.8183846972219705e-06
10.799999999999997	-3.6638026015865127e-06
10.875	-3.4216271858747337e-06
10.949999999999996	-3.118572996119187e-06
11.024999999999999	-2.801493654355283e-06
11.100000000000001	-2.51302310607419e-06
11.174999999999997	-2.2676918676771183e-06
11.25	-2.0594682739410137e-06
11.324999999999996	-1.8775747254874646e-06
11.399999999999999	-1.7239526862528658e-06
11.475000000000001	-1.6215514309688944e-06
11.549999999999997	-1.5842467926455256e-06
11.625	-1.5935274100607682e-06
11.699999999999996	-1.6406347252558906e-06
11.774999999999999	-1.7633404810318382e-06
11.850000000000001	-1.995836718455624e-06
11.924999999999997	-2.317304524372092e-06
12.0	-2.6821102789163e-06
12.074999999999996	-3.0584656530351157e-06
12.149999999999999	-3.4192913560113807e-06
12.225000000000001	-3.727460882994677e-06
12.299999999999997	-3.946375512538185e-06
12.375	-4.055336804137586e-06
12.449999999999996	-4.058785345778935e-06
12.524999999999999	-3.98849075148798e-06
12.600000000000001	-3.88368415888607e-06
12.674999999999997	-3.76972947675027e-06
12.75	-3.6530196325811113e-06
12.824999999999996	-3.5226128201750706e-06
12.899999999999999	-3.3625737471970905e-06
12.975000000000001	-3.1642011327621776e-06
13.049999999999997	-2.9270752050245754e-06
13.125	-2.6578826987661838e-06
13.199999999999996	-2.3715268529916813e-06
13.274999999999999	-2.0916749085311712e-06
13.350000000000001	-1.8467831056476036e-06
13.424999999999997	-1.6617604316448056e-06
13.5	-1.53668861848168e-06
13.574999999999996	-1.4349921403987724e-06
13.649999999999999	-1.3223669615397581e-06
13.725000000000001	-1.202305533580313e-06
13.799999999999997	-1.0872742933668857e-06
13.875	-9.668011605548036e-07
13.949999999999996	-8.275392852537704e-07
14.024999999999999	-6.775395456781801e-07
14.100000000000001	-5.353742958012064e-07
14.174999999999997	-4.1484986301384265e-07
14.25	-3.2721529578992e-07
14.324999999999996	-2.8475736135355317e-07
14.399999999999999	-2.924817933547588e-07
14.475000000000001	-3.3985578954688253e-07
14.549999999999997	-4.0470425947057456e-07
14.625	-4.610985721410221e-07
14.699999999999996	-4.910453037394085e-07
14.774999999999999	-4.932962353147088e-07
14.850000000000001	-4.768758504819894e-07
14.924999999999997	-4.52967583128535e-07
15.0	-4.355075651280124e-07
15.074999999999996	-4.403933740558574e-07
15.149999999999999	-4.704327809095445e-07
15.225000000000001	-5.039099978337026e-07
15.299999999999997	-5.118781758503038e-07
15.375	-4.771219025953526e-07
15.449999999999996	-3.9106095005524647e-07
15.524999999999999	-2.4719652231163917e-07
15.600000000000001	-4.279875329029308e-08
15.674999999999997	2.1603329548598364e-07
15.75	5.040803871391332e-07
15.824999999999996	7.725768616755743e-07
15.899999999999999	9.73488138218845e-07
15.975000000000001	1.0840069672378145e-06
16.049999999999997	1.103202182769842e-06
16.125	1.0440787046424263e-06
16.199999999999996	9.351437906891319e-07
16.275	8.188170389587124e-07
16.35	7.277078899219834e-07
16.424999999999997	6.632293786742357e-07
16.5	6.056518871321515e-07
16.574999999999996	5.323268962271307e-07
16.65	4.371807380935423e-07
16.725	3.4098834825164383e-07
16.799999999999997	2.6351951779111545e-07
16.875	1.9758389554336694e-07
16.949999999999996	1.287847402522299e-07
17.025	6.021392274266407e-08
17.1	1.1184428082519388e-08
17.174999999999997	5.169107739286394e-09
17.25	4.0528181732978874e-08
17.324999999999996	7.144174078932956e-08
17.4	4.6870998480934577e-08
17.475	-4.785545663085926e-08
17.549999999999997	-1.9697915885972793e-07
17.625	-3.722630132631882e-07
17.699999999999996	-5.514537935117203e-07
17.775	-7.291033897684112e-07
17.85	-8.963250565693471e-07
17.924999999999997	-1.0226534107076928e-06
18.0	-1.0773906791230466e-06
18.074999999999996	-1.0549929467946159e-06
18.15	-9.771314046401383e-07
18.225	-8.846485974162109e-07
18.299999999999997	-8.124109216250579e-07
18.375	-7.659448734255487e-07
18.449999999999996	-7.223120465458649e-07
18.525	-6.408128802030819e-07
18.6	-4.887779070264842e-07
18.674999999999997	-2.652977509839118e-07
18.75	-1.5956253115094197e-09
18.824999999999996	2.4990891955053885e-07
18.9	4.4840124801583474e-07
18.975	5.901041414121514e-07
19.049999999999997	6.823528000346915e-07
19.125	7.159673451903183e-07
19.199999999999996	6.821728212444653e-07
19.275	5.942441976617983e-07
19.35	4.834988710435066e-07
19.424999999999997	3.8828291715751597e-07
19.5	3.4059109296498355e-07
19.574999999999996	3.5386683864939543e-07
19.65	4.17884779634876e-07
19.725	4.998669786004565e-07
19.799999999999997	5.634504374939205e-07
19.875	5.883245995402706e-07
19.949999999999996	5.746938512455424e-07
20.025	5.404275243969536e-07
20.1	5.041636480587767e-07
20.174999999999997	4.7226270056638496e-07
20.25	4.5520511151279895e-07
20.324999999999996	4.818275137339538e-07
20.4	5.754677452906908e-07
20.475	7.275936014436729e-07
20.549999999999997	8.99460336626411e-07
20.625	1.0358419164142795e-06
20.699999999999996	1.099016019491357e-06
20.775	1.0959127896096362e-06
20.85	1.0576660875455292e-06
20.924999999999997	1.0114759930551218e-06
21.0	9.693088068248103e-07
21.074999999999996	9.255658024136949e-07
21.15	8.737657281980047e-07
21.225	8.199885593098738e-07
21.299999999999997	7.643379995685986e-07
21.375	6.860277334141057e-07
21.449999999999996	5.749614278328959e-07
21.525	4.5942648428150344e-07
21.6	3.717540406044134e-07
21.674999999999997	3.1167272295017754e-07
21.75	2.6245864768451263e-07
21.824999999999996	2.141704232947938e-07
21.9	1.62430402297524e-07
21.975	1.0221593313843414e-07
22.049999999999997	2.6159362087960185e-08
22.125	-7.582446486409266e-08
22.199999999999996	-2.1609570012147215e-07
22.275	-4.0640199259284854e-07
22.35	-6.460459858105646e-07
22.424999999999997	-9.138303160551186e-07
22.5	-1.1840313604762162e-06
22.574999999999996	-1.4420467352241287e-06
22.65	-1.6747065435819478e-06
22.725	-1.8618271241014382e-06
22.799999999999997	-1.9980660487441774e-06
22.875	-2.110184621022125e-06
22.949999999999996	-2.225632874147303e-06
23.025	-2.340957069182075e-06
23.1	-2.4381884431927465e-06
23.174999999999997	-2.5072619574074848e-06
23.25	-2.544578795378261e-06
23.324999999999996	-2.5469788611451025e-06
23.4	-2.5111970274056336e-06
23.475	-2.4351043836861654e-06
23.549999999999997	-2.3206382345174696e-06
23.625	-2.1773933476149627e-06
23.699999999999996	-2.027171952060156e-06
23.775	-1.905213736487342e-06
23.85	-1.8471758472730153e-06
23.924999999999997	-1.8737016367296697e-06
24.0	-1.9796031613028973e-06
24.074999999999996	-2.130051179769438e-06
24.15	-2.2801776514430983e-06
24.225	-2.3962894843823653e-06
24.299999999999997	-2.4600947835983112e-06
24.375	-2.4689678492706577e-06
24.449999999999996	-2.4373354249642662e-06
24.525	-2.394671695849888e-06
24.6	-2.368828286930129e-06
24.674999999999997	-2.3693405112661543e-06
24.75	-2.385301118208743e-06
24.824999999999996	-2.3905240416325745e-06
24.9	-2.3633168981743274e-06
24.975	-2.3040822354748913e-06
25.049999999999997	-2.229606280422856e-06
25.125	-2.1611289374037524e-06
25.199999999999996	-2.1108475365513984e-06
25.275	-2.073535582001384e-06
25.35	-2.04020775015109e-06
25.424999999999997	-2.0119061379191488e-06
25.5	-1.991945261011728e-06
25.574999999999996	-1.975745802191681e-06
25.65	-1.952562109547161e-06
25.725	-1.9102834447684527e-06
25.799999999999997	-1.840626481425023e-06
25.875	-1.74185030324679e-06
25.949999999999996	-1.6111589024104255e-06
26.025	-1.43903367782685e-06
26.1	-1.2215721834303856e-06
26.174999999999997	-9.705031264748697e-07
26.25	-6.959101158315887e-07
26.324999999999996	-3.877579102889063e-07
