#F tmpPSD.dat
#S 1  power spectral density
#N 5
#L  freq[m^-1]  psd_heights[m^3]  psd_slopes[rad^3]  csd_h  csd_s
4.916666666666667140e+01 3.876341143718771555e-22 3.624533794860163441e-17 9.999887566897062152e-01 9.590018911329066809e-01
5.000000000000000000e+01 1.635018157563740821e-21 1.582833109039560327e-16 9.999889757935888079e-01 9.591803039881333648e-01
5.083333333333333570e+01 3.360027149911539522e-22 3.365830596654769927e-17 9.999891893044520197e-01 9.593563116142013181e-01
5.166666666666667140e+01 5.376120008592676060e-22 5.569524727646792089e-17 9.999892839387636290e-01 9.594382364878474290e-01
5.250000000000000711e+01 2.436216543507619598e-21 2.608767827338729501e-16 9.999896060786649388e-01 9.597284330593782720e-01
5.333333333333333570e+01 1.877781192801289696e-21 2.077365949673110300e-16 9.999900733921754936e-01 9.601578425186239052e-01
5.416666666666667140e+01 8.088415428290071557e-22 9.239855926934532788e-17 9.999903644202897679e-01 9.604327676833086525e-01
5.500000000000000000e+01 7.249381560348374505e-21 8.547290667716192432e-16 9.999912373259188803e-01 9.612998253388945757e-01
5.583333333333334281e+01 1.755577550253239524e-21 2.135363501449791314e-16 9.999922127856611942e-01 9.622768422866754268e-01
5.666666666666667140e+01 7.781423170236631369e-23 9.759775330568597953e-18 9.999924113872098452e-01 9.624809397147224832e-01
5.750000000000000711e+01 5.445119898866760222e-22 7.039273600250553701e-17 9.999924788004799225e-01 9.625541902670129435e-01
5.833333333333333570e+01 1.837929046296170822e-21 2.447964014633852588e-16 9.999927368775280989e-01 9.628421843206182995e-01
5.916666666666667140e+01 2.151397889928994196e-21 2.951036666232078593e-16 9.999931690197509937e-01 9.633353007913656452e-01
6.000000000000000711e+01 2.899603162079724670e-21 4.094462356686473924e-16 9.999937161671240693e-01 9.639784204340759999e-01
6.083333333333334281e+01 7.145160599199113293e-23 1.038261140493304448e-17 9.999940380051297595e-01 9.643614401469388087e-01
6.166666666666667140e+01 7.628370898780507438e-22 1.140247920130438565e-16 9.999941283790123592e-01 9.644749107262917676e-01
6.250000000000000711e+01 4.313953617395119135e-21 6.630663737597250838e-16 9.999946783195097222e-01 9.651833848449832276e-01
6.333333333333333570e+01 1.181786700567919584e-21 1.867154343427092741e-16 9.999952736421470201e-01 9.659575362237103890e-01
6.416666666666665719e+01 8.094962612383304194e-22 1.314211637678671435e-16 9.999954893465426986e-01 9.662471991536993876e-01
6.500000000000000000e+01 8.215957330303974436e-22 1.370161539217462191e-16 9.999956660334576863e-01 9.664915434281011741e-01
6.583333333333332860e+01 2.892897046927277341e-24 4.954129957183175066e-19 9.999957553456079173e-01 9.666166890005261081e-01
6.666666666666667140e+01 2.139057413445016168e-22 3.760443774144175709e-17 9.999957788301664374e-01 9.666513597819076375e-01
6.750000000000000000e+01 1.489579549024166932e-21 2.687370968403770276e-16 9.999959633589815544e-01 9.669300847295247969e-01
6.833333333333332860e+01 6.806453108916927691e-22 1.259796867582183975e-16 9.999961984469741827e-01 9.672890995156421257e-01
6.916666666666667140e+01 2.508270264872946124e-22 4.761475638300138053e-17 9.999962993480049356e-01 9.674469502198895787e-01
7.000000000000000000e+01 5.642901718723688085e-22 1.098328699265419656e-16 9.999963876449454725e-01 9.675900962348499279e-01
7.083333333333332860e+01 3.248682980088080874e-22 6.481535846169691162e-17 9.999964839623406432e-01 9.677488556811779663e-01
7.166666666666665719e+01 1.034876538800023903e-21 2.115831192092565856e-16 9.999966312556178849e-01 9.680000553438066202e-01
7.250000000000000000e+01 6.057143099937665123e-22 1.268721226074506612e-16 9.999968089712870656e-01 9.683075653971187080e-01
7.333333333333332860e+01 1.405094551736019793e-22 3.014370454634235129e-17 9.999968898053588351e-01 9.684501920058226077e-01
7.416666666666665719e+01 5.209984326621481877e-23 1.144483908247399360e-17 9.999969106696006138e-01 9.684879657805587350e-01
7.499999999999998579e+01 2.529295346906103238e-22 5.687836655534321726e-17 9.999969437116530413e-01 9.685500187439235464e-01
7.583333333333334281e+01 2.433011019711551465e-22 5.599645769570980322e-17 9.999969974654195903e-01 9.686525259708473889e-01
7.666666666666667140e+01 2.702247677879101662e-22 6.363668985996739173e-17 9.999970530926747259e-01 9.687611589262457024e-01
7.750000000000000000e+01 8.503337075376544841e-23 2.048505658165857854e-17 9.999970915757100398e-01 9.688375384375463861e-01
7.833333333333332860e+01 6.524793626400554718e-22 1.607613209369498996e-16 9.999971714661440858e-01 9.690020831505903320e-01
7.916666666666667140e+01 2.606271046277335592e-23 6.566066110961913425e-18 9.999972449686261866e-01 9.691539666926647367e-01
8.000000000000000000e+01 5.110029879581497369e-22 1.316091252618198949e-16 9.999973031457989325e-01 9.692793707630661393e-01
8.083333333333332860e+01 1.269492532356602157e-22 3.341778627343104900e-17 9.999973722514134966e-01 9.694291234720924244e-01
8.166666666666665719e+01 3.331217755186152664e-22 8.960775314222836561e-17 9.999974220881997500e-01 9.695407472316873720e-01
8.250000000000000000e+01 1.530497268553809139e-24 4.206125039067169822e-19 9.999974583391088023e-01 9.696224237921245992e-01
8.333333333333332860e+01 3.802514616099544906e-22 1.067435068777554982e-16 9.999974996952976092e-01 9.697196374783726425e-01
8.416666666666667140e+01 2.518472233105221007e-22 7.220120094894727202e-17 9.999975681668176186e-01 9.698819450416857890e-01
8.500000000000000000e+01 2.698231926325631096e-23 7.898428815009431429e-18 9.999975983707750649e-01 9.699545887160643254e-01
8.583333333333334281e+01 3.685969020666460729e-22 1.101505087564689377e-16 9.999976412215336730e-01 9.700616393266504600e-01
