#F spectrum.dat

#S 1 Wiggler spectrum
#N 3
#L PhotonEnergy[eV]  Flux[phot/s/0.1%bw]  PowerDensity[W/eV]
 2.000420841683e+04   2.181939850914e+14   3.495853017126e-02  
 2.000424849699e+04   2.181934442388e+14   3.495844351712e-02  
 2.000428857715e+04   2.181929033874e+14   3.495835686318e-02  
 2.000432865731e+04   2.181923625373e+14   3.495827020944e-02  
 2.000436873747e+04   2.181918216883e+14   3.495818355588e-02  
 2.000440881764e+04   2.181912808406e+14   3.495809690252e-02  
 2.000444889780e+04   2.181907399940e+14   3.495801024934e-02  
 2.000448897796e+04   2.181901991486e+14   3.495792359636e-02  
 2.000452905812e+04   2.181896583045e+14   3.495783694358e-02  
 2.000456913828e+04   2.181891174615e+14   3.495775029098e-02  
 2.000460921844e+04   2.181885766198e+14   3.495766363858e-02  
 2.000464929860e+04   2.181880357792e+14   3.495757698638e-02  
 2.000468937876e+04   2.181874949399e+14   3.495749033436e-02  
 2.000472945892e+04   2.181869541018e+14   3.495740368254e-02  
 2.000476953908e+04   2.181864132648e+14   3.495731703091e-02  
 2.000480961924e+04   2.181858724291e+14   3.495723037947e-02  
 2.000484969940e+04   2.181853315945e+14   3.495714372823e-02  
 2.000488977956e+04   2.181847907612e+14   3.495705707718e-02  
 2.000492985972e+04   2.181842499291e+14   3.495697042631e-02  
 2.000496993988e+04   2.181837090981e+14   3.495688377564e-02  
 2.000501002004e+04   2.181831682684e+14   3.495679712517e-02  
 2.000505010020e+04   2.181826274399e+14   3.495671047489e-02  
 2.000509018036e+04   2.181820866125e+14   3.495662382480e-02  
 2.000513026052e+04   2.181815457864e+14   3.495653717490e-02  
 2.000517034068e+04   2.181810049615e+14   3.495645052519e-02  
 2.000521042084e+04   2.181804641378e+14   3.495636387568e-02  
 2.000525050100e+04   2.181799233152e+14   3.495627722636e-02  
 2.000529058116e+04   2.181793824939e+14   3.495619057723e-02  
 2.000533066132e+04   2.181788416738e+14   3.495610392830e-02  
